mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample_for_bin,param_subsample,param_reg_alpha,param_objective,param_num_leaves,param_n_estimators,param_min_child_samples,param_max_depth,param_learning_rate,param_colsample_bytree,param_boosting_type,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.7131357192993164,0.2759111340224556,0.010547558466593424,6.642523986170089e-06,175555,1.0,0.0,binary,100,100,100,-1,0.01,1.0,gbdt,"{'subsample_for_bin': np.int64(175555), 'subsample': 1.0, 'reg_alpha': 0.0, 'objective': 'binary', 'num_leaves': 100, 'n_estimators': 100, 'min_child_samples': 100, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 1.0, 'boosting_type': 'gbdt'}",0.375968992248062,0.4052532833020638,0.3931297709923664,0.39145068218083073,0.01201407313838345,17
6.562204917271932,0.5746043592862546,0.013656934102376303,0.0003677972349988944,20000,0.8,0.1,binary,100,200,40,-1,0.01,0.8,gbdt,"{'subsample_for_bin': np.int64(20000), 'subsample': 0.8, 'reg_alpha': 0.1, 'objective': 'binary', 'num_leaves': 100, 'n_estimators': 200, 'min_child_samples': 40, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 0.8, 'boosting_type': 'gbdt'}",0.5107794361525705,0.5632911392405063,0.5271828665568369,0.533751147316638,0.021935154044038715,12
3.035882314046224,0.23890339934093188,0.012447198232014975,0.0006597345616935284,20000,0.8,0.1,binary,100,100,40,20,0.01,1.0,dart,"{'subsample_for_bin': np.int64(20000), 'subsample': 0.8, 'reg_alpha': 0.1, 'objective': 'binary', 'num_leaves': 100, 'n_estimators': 100, 'min_child_samples': 40, 'max_depth': 20, 'learning_rate': 0.01, 'colsample_bytree': 1.0, 'boosting_type': 'dart'}",0.312,0.2650103519668737,0.3157894736842105,0.2975999418836947,0.023096190968941936,20
1.0536151727040608,0.0931621599699889,0.013201713562011719,0.0009394391714782059,206666,0.8,0.5,binary,100,200,100,-1,0.1,1.0,goss,"{'subsample_for_bin': np.int64(206666), 'subsample': 0.8, 'reg_alpha': 0.5, 'objective': 'binary', 'num_leaves': 100, 'n_estimators': 200, 'min_child_samples': 100, 'max_depth': -1, 'learning_rate': 0.1, 'colsample_bytree': 1.0, 'boosting_type': 'goss'}",0.515527950310559,0.5189504373177842,0.5192012288786483,0.5178932055023305,0.0016756189291128104,14
2.9501638412475586,0.03829070309220116,0.013695001602172852,0.0014572461208614427,175555,0.8,0.1,binary,100,200,100,-1,0.05,0.8,gbdt,"{'subsample_for_bin': np.int64(175555), 'subsample': 0.8, 'reg_alpha': 0.1, 'objective': 'binary', 'num_leaves': 100, 'n_estimators': 200, 'min_child_samples': 100, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'boosting_type': 'gbdt'}",0.5529953917050692,0.5819209039548022,0.554074074074074,0.5629967899113151,0.013388613524471184,2
3.3670500914255777,0.03460313135399818,0.011964003245035807,0.001223666323811492,206666,0.8,0.0,binary,100,200,100,20,0.05,1.0,dart,"{'subsample_for_bin': np.int64(206666), 'subsample': 0.8, 'reg_alpha': 0.0, 'objective': 'binary', 'num_leaves': 100, 'n_estimators': 200, 'min_child_samples': 100, 'max_depth': 20, 'learning_rate': 0.05, 'colsample_bytree': 1.0, 'boosting_type': 'dart'}",0.5231259968102073,0.5663716814159292,0.5828220858895705,0.5574399213719023,0.025175888146609277,6
2.6103931268056235,0.03434964219920557,0.018380085627237957,0.0010063097459314919,144444,1.0,0.5,binary,50,500,100,10,0.05,0.8,goss,"{'subsample_for_bin': np.int64(144444), 'subsample': 1.0, 'reg_alpha': 0.5, 'objective': 'binary', 'num_leaves': 50, 'n_estimators': 500, 'min_child_samples': 100, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",0.49056603773584906,0.5014749262536873,0.5296803652968036,0.5072404430954466,0.016480565190062923,15
7.578856786092122,0.059991379525475036,0.020789941151936848,0.0020925809157501278,51111,1.0,0.1,binary,31,500,20,-1,0.01,1.0,goss,"{'subsample_for_bin': np.int64(51111), 'subsample': 1.0, 'reg_alpha': 0.1, 'objective': 'binary', 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 1.0, 'boosting_type': 'goss'}",0.5722713864306784,0.5774058577405857,0.5743145743145743,0.5746639394952795,0.0021106461775456586,1
9.588135480880737,0.9314869142776877,0.01601894696553548,0.004601354421632779,113333,0.8,0.1,binary,100,200,20,10,0.01,0.8,dart,"{'subsample_for_bin': np.int64(113333), 'subsample': 0.8, 'reg_alpha': 0.1, 'objective': 'binary', 'num_leaves': 100, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.8, 'boosting_type': 'dart'}",0.44646098003629764,0.5008517887563884,0.44283121597096187,0.4633813282545493,0.026537022621957323,16
6.805617332458496,0.058539161799228155,0.01752495765686035,0.001125594506028136,113333,0.8,0.0,binary,31,500,100,-1,0.01,1.0,gbdt,"{'subsample_for_bin': np.int64(113333), 'subsample': 0.8, 'reg_alpha': 0.0, 'objective': 'binary', 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 100, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 1.0, 'boosting_type': 'gbdt'}",0.5407066052227343,0.5860597439544808,0.5529953917050692,0.5599205802940947,0.01915194465235735,5
